character,keyword,reading,decomposition,spatial,ids,components_detail,tags
苇,Phragmites communis,wei3,flower + tanned hide,⿱ (top-bottom),⿱艹韦,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">韦</span> <span style=""color:#666"">tanned hide</span>",SC::L1
匣,case,xia2,box + first / armor,⿷ (surround-open-right),⿷匚甲,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">甲</span> <span style=""color:#666"">first / armor</span>",SC::L1
卤,to stew in soy sauce and spices,lu3,,⿱ (top-bottom),⿱⺊龱,,SC::L1
吱,creaking or groaning,zhi1,mouth + offshoot / branch,⿰ (left-right),⿰口支,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">支</span> <span style=""color:#666"">offshoot / branch</span>",SC::L1
呛,to choke (because of swallowing the wrong way),qiang1,mouth + storehouse,⿰ (left-right),⿰口仓,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">仓</span> <span style=""color:#666"">storehouse</span>",SC::L1
吭,throat,hang2,mouth + whirlwind,⿰ (left-right),⿰口亢,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">亢</span> <span style=""color:#666"">whirlwind</span>",SC::L1
囤,bin for grain,dun4,pent in + stockpile / barracks,⿴ (surround),⿴囗屯,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">屯</span> <span style=""color:#666"">stockpile / barracks</span>",SC::L1
吮,to suck,shun3,mouth + consent / license,⿰ (left-right),⿰口允,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">允</span> <span style=""color:#666"">consent / license</span>",SC::L1
岖,used in 崎嶇|崎岖[qi2 qu1],qu1,mountain + region / ward,⿰ (left-right),⿰山区,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">区</span> <span style=""color:#666"">region / ward</span>",SC::L1
狈,a legendary wolf,bei4,shellfish,⿰ (left-right),⿰犭贝,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span>",SC::L1
彤,surname Tong,Tong2,cinnabar red + rooster tail,⿰ (left-right),⿰丹彡,"<span style=""color:#1a5276"">丹</span> <span style=""color:#666"">cinnabar red</span><br><span style=""color:#1a5276"">彡</span> <span style=""color:#666"">rooster tail</span>",SC::L1
刨,carpenter's plane,bao4,wrap,⿰ (left-right),⿰包刂,"<span style=""color:#1a5276"">包</span> <span style=""color:#666"">wrap</span>",SC::L1
吝,stingy,lin4,literature / sentence + mouth,⿱ (top-bottom),⿱文口,"<span style=""color:#1a5276"">文</span> <span style=""color:#666"">literature / sentence</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",SC::L1
庐,surname Lu,Lu2,extensive + door,⿸ (top-left-wrap),⿸广户,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span><br><span style=""color:#1a5276"">户</span> <span style=""color:#666"">door</span>",SC::L1
闰,intercalary,run4,gate + king,⿵ (surround-open-bottom),⿵门王,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span>",SC::L1
沥,to drip,li4,experience,⿰ (left-right),⿰氵历,"<span style=""color:#1a5276"">历</span> <span style=""color:#666"">experience</span>",SC::L1
沪,short name for Shanghai,Hu4,door,⿰ (left-right),⿰氵户,"<span style=""color:#1a5276"">户</span> <span style=""color:#666"">door</span>",SC::L1
沁,to seep,qin4,heart,⿰ (left-right),⿰氵心,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span>",SC::L1
忱,sincerity,chen2,Frankenbowser Rex,⿰ (left-right),⿰忄冘,"<span style=""color:#1a5276"">冘</span> <span style=""color:#666"">Frankenbowser Rex</span>",SC::L1
卦,divinatory diagram,gua4,squared jewel + divination / augury,⿰ (left-right),⿰圭卜,"<span style=""color:#1a5276"">圭</span> <span style=""color:#666"">squared jewel</span><br><span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination / augury</span>",SC::L1
坷,used in 坷垃[ke1 la1],ke1,soil + can,⿰ (left-right),⿰土可,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">可</span> <span style=""color:#666"">can</span>",SC::L1
坯,blank (e.g. for a coin),pi1,soil + grand,⿰ (left-right),⿰土丕,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">丕</span> <span style=""color:#666"">grand</span>",SC::L1
拎,to lift up,lin1,fingers + orders,⿰ (left-right),⿰扌令,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">令</span> <span style=""color:#666"">orders</span>",SC::L1
拄,to lean on,zhu3,fingers + lord,⿰ (left-right),⿰扌主,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">主</span> <span style=""color:#666"">lord</span>",SC::L1
拗,to twist,ao4,fingers + young / infancy,⿰ (left-right),⿰扌幼,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">幼</span> <span style=""color:#666"">young / infancy</span>",SC::L1
苞,bud,bao1,flower + wrap,⿱ (top-bottom),⿱艹包,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">包</span> <span style=""color:#666"">wrap</span>",SC::L1
茁,"to display vigorous, new growth",zhuo2,flower + exit,⿱ (top-bottom),⿱艹出,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">出</span> <span style=""color:#666"">exit</span>",SC::L1
矾,alum,fan2,stone + ordinary / mediocre,⿰ (left-right),⿰石凡,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">凡</span> <span style=""color:#666"">ordinary / mediocre</span>",SC::L1
咙,used in 喉嚨|喉咙[hou2 long2],long2,mouth + dragon,⿰ (left-right),⿰口龙,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span>",SC::L1
咋,dialectal equivalent of 怎麼|怎么[zen3 me5],za3,mouth + for the first time,⿰ (left-right),⿰口乍,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">乍</span> <span style=""color:#666"">for the first time</span>",SC::L1
咄,"(interjection expressing disapproval, commiseration etc) tut!",duo1,mouth + exit,⿰ (left-right),⿰口出,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">出</span> <span style=""color:#666"">exit</span>",SC::L1
账,account,zhang4,shellfish + long,⿰ (left-right),⿰贝长,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span><br><span style=""color:#1a5276"">长</span> <span style=""color:#666"">long</span>",SC::L1
秆,stalks of grain,gan3,standing grain + dry / offend,⿰ (left-right),⿰禾干,"<span style=""color:#1a5276"">禾</span> <span style=""color:#666"">standing grain</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry / offend</span>",SC::L1
侥,by mere luck,jiao3,Yao,⿰ (left-right),⿰亻尧,"<span style=""color:#1a5276"">尧</span> <span style=""color:#666"">Yao</span>",SC::L1
侈,wasteful,chi3,many,⿰ (left-right),⿰亻多,"<span style=""color:#1a5276"">多</span> <span style=""color:#666"">many</span>",SC::L1
忿,anger,fen4,part + heart,⿱ (top-bottom),⿱分心,"<span style=""color:#1a5276"">分</span> <span style=""color:#666"">part</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span>",SC::L1
肮,used in 骯髒|肮脏[ang1 zang1],ang1,month + whirlwind,⿰ (left-right),⿰月亢,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span><br><span style=""color:#1a5276"">亢</span> <span style=""color:#666"">whirlwind</span>",SC::L1
狞,fierce-looking,ning2,calm,⿰ (left-right),⿰犭宁,"<span style=""color:#1a5276"">宁</span> <span style=""color:#666"">calm</span>",SC::L1
疟,malaria,nu:e4,sickness,⿸ (top-left-wrap),⿸疒𰀂,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span>",SC::L1
疙,pimple,ge1,sickness + beg,⿸ (top-left-wrap),⿸疒乞,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">乞</span> <span style=""color:#666"">beg</span>",SC::L1
疚,chronic disease,jiu4,sickness + long time,⿸ (top-left-wrap),⿸疒久,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">久</span> <span style=""color:#666"">long time</span>",SC::L1
庚,seventh of the ten Heavenly Stems 十天干[shi2 tian1 gan1],geng1,extensive + person,⿸ (top-left-wrap),⿸广⿻{43}人,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",SC::L1
沽,to buy,Gu1,ancient / old,⿰ (left-right),⿰氵古,"<span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient / old</span>",SC::L1
沮,to destroy,ju3,moreover,⿰ (left-right),⿰氵且,"<span style=""color:#1a5276"">且</span> <span style=""color:#666"">moreover</span>",SC::L1
泞,muddy,ning4,calm,⿰ (left-right),⿰氵宁,"<span style=""color:#1a5276"">宁</span> <span style=""color:#666"">calm</span>",SC::L1
帚,broomstick,zhou3,crown + towel,⿳ (top-mid-bottom),⿳𫜹冖巾,"<span style=""color:#1a5276"">冖</span> <span style=""color:#666"">crown</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",SC::L1
妮,girl,ni1,woman + nun,⿰ (left-right),⿰女尼,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">尼</span> <span style=""color:#666"">nun</span>",SC::L1
迢,far,tiao2,road + summon / seduce,⿺ (bottom-left-wrap),⿺辶召,"<span style=""color:#1a5276"">辶</span> <span style=""color:#666"">road</span><br><span style=""color:#1a5276"">召</span> <span style=""color:#666"">summon / seduce</span>",SC::L1
叁,three (banker's anti-fraud numeral),san1,elbow + large + three,⿳ (top-mid-bottom),⿳厶大三,"<span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span><br><span style=""color:#1a5276"">三</span> <span style=""color:#666"">three</span>",SC::L1
驹,colt,ju1,horse + sentence / phrase,⿰ (left-right),⿰马句,"<span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span><br><span style=""color:#1a5276"">句</span> <span style=""color:#666"">sentence / phrase</span>",SC::L1
绊,to trip,ban4,thread + half,⿰ (left-right),⿰纟半,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">半</span> <span style=""color:#666"">half</span>",SC::L1
绎,to interpret,yi4,thread,⿰ (left-right),⿰纟𠬤,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span>",SC::L1
玷,disgrace,dian4,tell fortunes / fortune-telling,⿰ (left-right),⿰𤣩占,"<span style=""color:#1a5276"">占</span> <span style=""color:#666"">tell fortunes / fortune-telling</span>",SC::L1
拽,to throw,ye4,fingers + tow,⿰ (left-right),⿰扌曳,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">曳</span> <span style=""color:#666"">tow</span>",SC::L1
垛,battlement,duo3,soil + flouds,⿰ (left-right),⿰土朵,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">朵</span> <span style=""color:#666"">flouds</span>",SC::L1
拯,to raise,zheng3,fingers + helping hand,⿰ (left-right),⿰扌丞,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">丞</span> <span style=""color:#666"">helping hand</span>",SC::L1
荆,chaste tree or berry (Vitex agnus-castus),jing1,,⿰ (left-right),⿰茾刂,,SC::L1
茬,stubble (crop residue),cha2,flower + at / exist,⿱ (top-bottom),⿱艹在,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">在</span> <span style=""color:#666"">at / exist</span>",SC::L1
茵,mattress,yin1,flower + cause,⿱ (top-bottom),⿱艹因,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">因</span> <span style=""color:#666"">cause</span>",SC::L1
荤,strong-smelling vegetable (garlic etc),hun1,flower + army,⿱ (top-bottom),⿱艹军,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">军</span> <span style=""color:#666"">army</span>",SC::L1
荧,a glimmer,ying2,fire,⿱ (top-bottom),⿱𫇦火,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span>",SC::L1
荔,litchi,li4,flower + unending exertion,⿱ (top-bottom),⿱艹劦,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">劦</span> <span style=""color:#666"">unending exertion</span>",SC::L1
栈,a wooden or bamboo pen for sheep or cattle,zhan4,tree + float,⿰ (left-right),⿰木戋,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">戋</span> <span style=""color:#666"">float</span>",SC::L1
柠,used in 檸檬|柠檬[ning2 meng2],ning2,tree + calm,⿰ (left-right),⿰木宁,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">宁</span> <span style=""color:#666"">calm</span>",SC::L1
柬,note,Jian3,tree + pent in + horns (also: animal horns),⿻ (overlaid),⿻木⿴囗丷,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns (also: animal horns)</span>",SC::L1
泵,pump (loanword),beng4,stone + water,⿱ (top-bottom),⿱石水,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span>",SC::L1
砚,ink-stone,yan4,stone + see,⿰ (left-right),⿰石见,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">见</span> <span style=""color:#666"">see</span>",SC::L1
韭,scallion,jiu3,non- / un- + one,⿱ (top-bottom),⿱非一,"<span style=""color:#1a5276"">非</span> <span style=""color:#666"">non- / un-</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span>",SC::L1
盹,doze,dun3,eye + stockpile / barracks,⿰ (left-right),⿰目屯,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span><br><span style=""color:#1a5276"">屯</span> <span style=""color:#666"">stockpile / barracks</span>",SC::L1
哆,used in 哆嗦[duo1 suo5],duo1,mouth + many,⿰ (left-right),⿰口多,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">多</span> <span style=""color:#666"">many</span>",SC::L1
咪,sound for calling a cat,mi1,mouth + rice,⿰ (left-right),⿰口米,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">米</span> <span style=""color:#666"">rice</span>",SC::L1
贻,to present,yi2,shellfish + platform / pedestal,⿰ (left-right),⿰贝台,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span><br><span style=""color:#1a5276"">台</span> <span style=""color:#666"">platform / pedestal</span>",SC::L1
钝,blunt,dun4,stockpile / barracks,⿰ (left-right),⿰钅屯,"<span style=""color:#1a5276"">屯</span> <span style=""color:#666"">stockpile / barracks</span>",SC::L1
钠,sodium (chemistry),na4,internal / inside,⿰ (left-right),⿰钅内,"<span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal / inside</span>",SC::L1
毡,felt (fabric),zhan1,fur + tell fortunes / fortune-telling,⿺ (bottom-left-wrap),⿺毛占,"<span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span><br><span style=""color:#1a5276"">占</span> <span style=""color:#666"">tell fortunes / fortune-telling</span>",SC::L1
俐,used in 伶俐[ling2 li4],li4,profit,⿰ (left-right),⿰亻利,"<span style=""color:#1a5276"">利</span> <span style=""color:#666"">profit</span>",SC::L1
禹,"Yu the Great (c. 21st century BC), mythical leader who tamed the floods",Yu3,hood (also: glass cover,⿻ (overlaid),⿻䖝冂,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood (also: glass cover</span>",SC::L1
狰,used in 猙獰|狰狞[zheng1 ning2],zheng1,contend,⿰ (left-right),⿰犭争,"<span style=""color:#1a5276"">争</span> <span style=""color:#666"">contend</span>",SC::L1
饵,pastry,er3,ear,⿰ (left-right),⿰饣耳,"<span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",SC::L1
峦,mountain ranges,luan2,mountain,⿱ (top-bottom),⿱𰁜山,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",SC::L1
闺,small arched door,gui1,gate + squared jewel,⿵ (surround-open-bottom),⿵门圭,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">圭</span> <span style=""color:#666"">squared jewel</span>",SC::L1
闽,short name for Fujian province 福建[Fu2 jian4],Min3,gate + insect,⿵ (surround-open-bottom),⿵门虫,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span>",SC::L1
籽,seeds,zi3,rice + child,⿰ (left-right),⿰米子,"<span style=""color:#1a5276"">米</span> <span style=""color:#666"">rice</span><br><span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",SC::L1
炫,to dazzle,xuan4,fire + mysterious,⿰ (left-right),⿰火玄,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">玄</span> <span style=""color:#666"">mysterious</span>",SC::L1
洼,low-lying area,wa1,squared jewel,⿰ (left-right),⿰氵圭,"<span style=""color:#1a5276"">圭</span> <span style=""color:#666"">squared jewel</span>",SC::L1
柒,seven (banker's anti-fraud numeral),qi1,tree,⿱ (top-bottom),⿱㲺木,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span>",SC::L1
浏,deep (of water),liu2,Wen River in northwest Sichuan (same as 汶川),⿰ (left-right),⿰汶刂,"<span style=""color:#1a5276"">汶</span> <span style=""color:#666"">Wen River in northwest Sichuan (same as 汶川)</span>",SC::L1
恃,to rely on,shi4,Buddhist temple,⿰ (left-right),⿰忄寺,"<span style=""color:#1a5276"">寺</span> <span style=""color:#666"">Buddhist temple</span>",SC::L1
恬,tranquil,tian2,tongue,⿰ (left-right),⿰忄舌,"<span style=""color:#1a5276"">舌</span> <span style=""color:#666"">tongue</span>",SC::L1
恤,anxiety,xu4,blood,⿰ (left-right),⿰忄血,"<span style=""color:#1a5276"">血</span> <span style=""color:#666"">blood</span>",SC::L1
宦,surname Huan,Huan4,house + feudal official / retainer,⿱ (top-bottom),⿱宀臣,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">臣</span> <span style=""color:#666"">feudal official / retainer</span>",SC::L1
祠,shrine,ci2,take charge of / director,⿰ (left-right),⿰礻司,"<span style=""color:#1a5276"">司</span> <span style=""color:#666"">take charge of / director</span>",SC::L1
诲,to teach,hui4,every,⿰ (left-right),⿰讠每,"<span style=""color:#1a5276"">每</span> <span style=""color:#666"">every</span>",SC::L1
陨,to fall from the sky,yun3,pinnacle + employee,⿰ (left-right),⿰阝员,"<span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span><br><span style=""color:#1a5276"">员</span> <span style=""color:#666"">employee</span>",SC::L1
癸,tenth of the ten Heavenly Stems 十天干[shi2 tian1 gan1],gui3,teepee + heavens,⿱ (top-bottom),⿱癶天,"<span style=""color:#1a5276"">癶</span> <span style=""color:#666"">teepee</span><br><span style=""color:#1a5276"">天</span> <span style=""color:#666"">heavens</span>",SC::L1
绚,adorned,xuan4,thread + decameron,⿰ (left-right),⿰纟旬,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">旬</span> <span style=""color:#666"">decameron</span>",SC::L1
骇,to astonish,hai4,horse + sign of the hog,⿰ (left-right),⿰马亥,"<span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span><br><span style=""color:#1a5276"">亥</span> <span style=""color:#666"">sign of the hog</span>",SC::L1
耘,to weed,yun2,Christmas tree + utter / quote / cloud,⿰ (left-right),⿰耒云,"<span style=""color:#1a5276"">耒</span> <span style=""color:#666"">Christmas tree</span><br><span style=""color:#1a5276"">云</span> <span style=""color:#666"">utter / quote / cloud</span>",SC::L1
耙,a hoe,ba4,Christmas tree + crust / comma-design,⿰ (left-right),⿰耒巴,"<span style=""color:#1a5276"">耒</span> <span style=""color:#666"">Christmas tree</span><br><span style=""color:#1a5276"">巴</span> <span style=""color:#666"">crust / comma-design</span>",SC::L1
埂,strip of high ground,geng3,soil + even more / grow late,⿰ (left-right),⿰土更,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">更</span> <span style=""color:#666"">even more / grow late</span>",SC::L1
捂,to enclose,wu3,fingers + I (literary),⿰ (left-right),⿰扌吾,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">吾</span> <span style=""color:#666"">I (literary)</span>",SC::L1
捍,to ward off (a blow),han4,fingers + drought / dry weather,⿰ (left-right),⿰扌旱,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">旱</span> <span style=""color:#666"">drought / dry weather</span>",SC::L1
捅,to poke,tong3,fingers + chop-rack,⿰ (left-right),⿰扌甬,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">甬</span> <span style=""color:#666"">chop-rack</span>",SC::L1
聂,surname Nie,Nie4,ear + pair,⿱ (top-bottom),⿱耳双,"<span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span><br><span style=""color:#1a5276"">双</span> <span style=""color:#666"">pair</span>",SC::L1
梆,watchman's rattle,bang1,tree + nation / home country,⿰ (left-right),⿰木邦,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">邦</span> <span style=""color:#666"">nation / home country</span>",SC::L1
